Nr okręgu,Nr obwodu,Nazwa,Siedziba,Typ,Granice,Liczba mieszkańców,Liczba wyborców,PR - liczba wyborców,PR - liczba kart w urnie,RM - liczba wyborców,RM - liczba kart w urnie
2,41,Zespół Szkół nr 2,ul. Hangarowa 14 Poznań,stały,"ul. 3. Pułku Lotniczego wszystkie adresy, ul. 5 Stycznia wszystkie adresy, ul. Adama Haber-Włyńskiego wszystkie adresy, ul. Andrzeja Kopy wszystkie adresy, ul. Balonowa wszystkie adresy, ul. Dedala wszystkie adresy, ul. Franciszka Hynka wszystkie adresy, ul. Franciszka Żwirki wszystkie adresy, ul. Hangarowa wszystkie adresy, ul. Ikara wszystkie adresy, ul. Jana Henryka Dąbrowskiego parzyste 286 - 338, ul. Kazimierza Szałasa wszystkie adresy, ul. Latawcowa wszystkie adresy, ul. Lotnicza wszystkie adresy, ul. Ludwika Idzikowskiego wszystkie adresy, ul. Łobżenicka parzyste 8, ul. Mieczysława Palucha wszystkie adresy, ul. Pilotów wszystkie adresy, ul. Przelot wszystkie adresy, ul. Spadochronowa wszystkie adresy, ul. Stanisława Skarżyńskiego wszystkie adresy, ul. Stanisława Wigury wszystkie adresy, ul. Startowa wszystkie adresy, ul. Sterowa wszystkie adresy, ul. Szybowcowa wszystkie adresy, ul. Wzlotowa wszystkie adresy, ul. Zbigniewa Burzyńskiego wszystkie adresy",1324,1092,1097,709,1097,708
2,42,Zespół Szkół nr 2,ul. Hangarowa 14 Poznań,stały,"ul. Biebrzańska wszystkie adresy, ul. Bużańska wszystkie adresy, ul. Bystrzycka wszystkie adresy, ul. Czarnohorska wszystkie adresy, ul. Dniestrzańska wszystkie adresy, ul. Dunajecka wszystkie adresy, ul. Jana Henryka Dąbrowskiego nieparzyste 175 - 315, ul. Karkonoska wszystkie adresy, ul. Lednicka wszystkie adresy, ul. Lutycka parzyste 34 - 34F, ul. Narewska wszystkie adresy, ul. Nidziańska wszystkie adresy, ul. Niemeńska wszystkie adresy, ul. Notecka wszystkie adresy, ul. Olzańska wszystkie adresy, ul. Pilicka wszystkie adresy, ul. Polska nieparzyste 61 - 69, 71 - 77a, ul. Popradzka wszystkie adresy, ul. Prądnicka wszystkie adresy, ul. Sytkowska nieparzyste 7 - 29a, parzyste 2 - 6, ul. Tatrzańska wszystkie adresy, ul. Wisłocka wszystkie adresy, ul. Wiślana wszystkie adresy, ul. Żarnowiecka wszystkie adresy, ul. Żuławska wszystkie adresy",1492,1231,1239,713,1239,714
2,43,Szkoła Podstawowa nr 73 z Oddziałami Dwujęzycznymi im. Laureatów Nagrody Nobla,ul. Michała Drzymały 4/6 Poznań,stały,"ul. Dojazd nieparzyste 3 - 11, parzyste 4 - 30B17, 38, ul. Golęcińska wszystkie adresy, ul. Góralska wszystkie adresy, ul. Lutycka parzyste 92 - 94, ul. Mazowiecka nieparzyste 33 - 55, parzyste 36 - 54, ul. Nad Potokiem wszystkie adresy, ul. Niestachowska wszystkie adresy, ul. Podlaska wszystkie adresy, ul. Podolańska wszystkie adresy, ul. Pomorska nieparzyste 11, ul. Szydłowska nieparzyste 29 - 53, ul. Śpiewaków wszystkie adresy, ul. Warmińska wszystkie adresy, ul. Wiece wszystkie adresy, ul. Wincentego Witosa wszystkie adresy, ul. Wojska Polskiego nieparzyste 27/29 - 53, 53A, 67 - 85a, parzyste 6 - 96, ul. Wołyńska nieparzyste 13 - 35, parzyste 20 - 40a",2402,1955,1980,975,1980,974
2,44,Szkoła Podstawowa nr 73 z Oddziałami Dwujęzycznymi im. Laureatów Nagrody Nobla,ul. Michała Drzymały 4/6 Poznań,stały,"ul. Bociania wszystkie adresy, ul. Dworkowa wszystkie adresy, ul. Grudzieniec wszystkie adresy, ul. Kaszubska wszystkie adresy, ul. Kazimierza Pułaskiego nieparzyste 9 - 23, ul. Klin wszystkie adresy, ul. Kujawska wszystkie adresy, ul. Kurpiowska wszystkie adresy, ul. Litewska wszystkie adresy, ul. Łady wszystkie adresy, ul. Małopolska wszystkie adresy, ul. Mazowiecka nieparzyste 1 - 27, 57 - 65, parzyste 2 - 28, 56 - 66, ul. Michała Drzymały wszystkie adresy, ul. Nad Wierzbakiem wszystkie adresy, ul. Niska wszystkie adresy, pl. Orawski wszystkie adresy, ul. Pałucka wszystkie adresy, ul. Podhalańska wszystkie adresy, ul. Podolska wszystkie adresy, ul. Poleska wszystkie adresy, ul. Pomorska nieparzyste 3 - 5, parzyste 2 - 10, pl. Spiski wszystkie adresy, ul. Śląska wszystkie adresy, ul. Urbanowska nieparzyste 1 - 41, al. Wielkopolska wszystkie adresy, ul. Wojska Polskiego nieparzyste 1 - 21, ul. Wołyńska nieparzyste 1 - 11, parzyste 2 - 18, ul. Żmudzka wszystkie adresy",2179,1778,1782,1055,1782,1055
2,45,Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego,ul. Sochaczewska 3 Poznań,stały,"ul. gen. Stanisława Maczka nieparzyste 1, 3 - 11, 19, parzyste 12 - 28A, ul. Piątkowska nieparzyste 39 - 55, parzyste 64 - 76, ul. Sochaczewska nieparzyste 7 - 13, parzyste 6 - 14, ul. Urbanowska parzyste 16 - 38",2141,1839,1855,1089,1855,1089
2,46,Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego,ul. Sochaczewska 3 Poznań,stały,"ul. Chełmińska wszystkie adresy, ul. gen. Stanisława Maczka nieparzyste 1a, 15 - 17, ul. Michałowska wszystkie adresy, ul. Piątkowska nieparzyste 61 - 65a, ul. Sochaczewska nieparzyste 3, ul. Sokoła nieparzyste 1 - 45, parzyste 2a - 38, ul. Szydłowska nieparzyste 1 - 21, parzyste 2 - 26, ul. Urbanowska parzyste 2 - 14, ul. Źródlana wszystkie adresy",2251,1894,1895,1241,1895,1241
2,47,XXV Liceum Ogólnokształcące im. Generałowej Jadwigi Zamoyskiej,ul. Widna 1 Poznań,stały,"ul. Błękitna wszystkie adresy, ul. Bonin nieparzyste 1a - 35, parzyste 28 ul. Koronna wszystkie adresy, ul. Lazurowa wszystkie adresy, ul. Piątkowska nieparzyste 87a - 105, ul. Prześwit wszystkie adresy, ul. Sokoła nieparzyste 47 - 59, ul. Szydłowska parzyste 32 - 64c, ul. Turkusowa nieparzyste 1 - 5, parzyste 6, ul. Widna wszystkie adresy, ul. Winiarska nieparzyste 1, parzyste 2 - 42, ul. Zjazd wszystkie adresy",2281,1920,1927,1114,1927,1113
2,48,Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego,os. Winiary 2 Poznań,stały,"ul. Bonin parzyste 2 - 26, ul. Kowalska parzyste 4, ul. Napoleońska wszystkie adresy, ul. Nasienna wszystkie adresy, ul. Orna wszystkie adresy, ul. Piątkowska nieparzyste 117 - 123a, parzyste 78 - 94c, 96 - 124A, ul. Plebańska nieparzyste 1 - 9, parzyste 8 - 10, ul. Tadeusza Rejtana nieparzyste 9 - 13a, parzyste 6 - 8A, ul. Winiarska parzyste 50 - 54a, os. Winiary nieparzyste 7 - 9, parzyste 4 - 8, ul. Wyłom wszystkie adresy",1761,1475,1486,893,1486,893
2,49,Uniwersytet Przyrodniczy Wydział Inżynierii Środowiska i Gospodarki Przestrzennej,ul. Piątkowska 94 Poznań,stały,"ul. Piątkowska parzyste 148, os. Powstańców Warszawy wszystkie adresy",2336,2002,2011,1100,2011,1103
2,50,Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego,os. Winiary 2 Poznań,stały,"ul. Adama Wrzoska wszystkie adresy, Aleje Solidarności nieparzyste 47 - 57, ul. Bronowa wszystkie adresy, ul. Dojazd parzyste 32 - 34a, ul. Ignacego Dobrogojskiego wszystkie adresy, ul. Juraszów wszystkie adresy, ul. Kaspra Drużbickiego wszystkie adresy, ul. Kowalska nieparzyste 17 - 21, ul. Krzysztofa Żegockiego wszystkie adresy, ul. Ksawerego Zakrzewskiego wszystkie adresy, ul. Lechicka parzyste 2 - 64, ul. Leona Przyłuskiego wszystkie adresy, ul. Lutycka parzyste 122 ul. Mikołaja Dobrzyckiego wszystkie adresy, ul. Piątkowska nieparzyste 125a - 211, parzyste 164 - 216, ul. Plebańska parzyste 4 - 4a, ul. Siewna wszystkie adresy, ul. św. Leonarda wszystkie adresy, ul. Tadeusza Rejtana nieparzyste 1 - 5, parzyste 2a - 4, ul. Trójpole wszystkie adresy, ul. Turkusowa parzyste 8, ul. Winiarska parzyste 56A - 56D, os. Winiary nieparzyste 1 - 3, 11 - 53, parzyste 2, 10 - 54",2169,1784,1796,1151,1796,1153
2,51,Zespół Szkół nr 7,os. Zwycięstwa 101 Poznań,stały,"os. Zwycięstwa nieparzyste 21, 23, 25, 101, 123, parzyste 8, 22, 24, 26, 28 - 108, 118",2116,1809,1808,1107,1808,1107
2,52,Zespół Szkół nr 7,os. Zwycięstwa 101 Poznań,stały,"ul. Księcia Mieszka I parzyste 26 - 28, os. Zwycięstwa nieparzyste 9, 15 - 19a, 109 - 113, 117, parzyste 12, 14 - 20, 110 - 116A",2174,1863,1874,1088,1874,1089
2,53,Zespół Szkół nr 7,os. Zwycięstwa 101 Poznań,stały,"os. Zwycięstwa nieparzyste 1, 3, 5, 5G - 7, 11, 13, 125, parzyste 2, 4, 6, 10",2566,2137,2135,1326,2135,1325
2,54,XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego,Wichrowe Wzgórze 111 Poznań,stały,"ul. Połabska wszystkie adresy, Wichrowe Wzgórze nieparzyste 27, 29, 31, 35, parzyste 26, 28, 30 - 32, 34",2227,1858,1866,1130,1866,1130
2,55,Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego,Wichrowe Wzgórze 119 Poznań,stały,"Wichrowe Wzgórze nieparzyste 17 - 23, 25, 119 - 123, parzyste 20 - 22, 24, 36, 122 - 124",2170,1773,1775,1083,1775,1085
2,56,Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego,Wichrowe Wzgórze 119 Poznań,stały,"Wichrowe Wzgórze nieparzyste 3 - 7, 103 - 105l, parzyste 2 - 6, 8, 18, 104, 118 - 120, 130",1956,1692,1697,977,1697,981
2,57,XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego,Wichrowe Wzgórze 111 Poznań,stały,"Wichrowe Wzgórze nieparzyste 9, 11, 13 - 15, 33, 111, parzyste 10 - 12, 14 - 16, 106 - 114",2222,1838,1848,1129,1848,1129
2,58,Zespół Szkolno-Przedszkolny nr 5,os. Kosmonautów 111 Poznań,stały,"os. Kosmonautów nieparzyste 9, 11, 13, 21, 25, 107 - 111, parzyste 10, 12, 20, 22, 106 - 118",1740,1455,1459,914,1459,915
2,59,Zespół Szkolno-Przedszkolny nr 5,os. Kosmonautów 111 Poznań,stały,"os. Kosmonautów nieparzyste 5, 7, 15 - 19, parzyste 6, 8, 14 - 18, 104 - 104B, 120, ul. Skotarska parzyste 24 - 24E",2003,1715,1712,964,1712,964
2,60,Przedszkole nr 134 „Słoneczny Świat”,os. Kosmonautów 108 Poznań,stały,"ul. Czarna Rola wszystkie adresy, ul. Karbowska wszystkie adresy, ul. Kłosowa wszystkie adresy, os. Kosmonautów nieparzyste 1 - 3, 23, parzyste 2 - 4, 24, ul. Pasterska wszystkie adresy, ul. Skotarska parzyste 2 - 22a, ul. Słomiana wszystkie adresy, ul. Włodarska wszystkie adresy, ul. Żytnia wszystkie adresy",1975,1680,1680,986,1680,987
2,61,Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego,os. Pod Lipami 106 Poznań,stały,"ul. Naramowicka nieparzyste 31A - 47D, os. Pod Lipami nieparzyste 9 - 13, 15, 103 - 107, parzyste 10 - 12, 14, 16, 102, 106 - 108",2193,1799,1791,1132,1791,1132
2,62,Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego,os. Pod Lipami 106 Poznań,stały,"os. Pod Lipami nieparzyste 1, 3 - 5, 7, 17 - 101, parzyste 2, 4 - 6, 8, 100, 104 - 104a, 108a",1980,1707,1715,1022,1715,1021
2,63,Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie,os. Przyjaźni 127 Poznań,stały,"Aleje Solidarności parzyste 34 - 36, ul. Aleksandra Hercena nieparzyste 1a - 1c, ul. Kondratija Rylejewa wszystkie adresy, ul. Murawa nieparzyste 33a - 39, os. Przyjaźni nieparzyste 1, 3, 117 - 125E, parzyste 2, 118, ul. Słowiańska nieparzyste 53a - 55c",2259,1921,1934,1117,1934,1117
2,64,Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie,os. Przyjaźni 136 Poznań,stały,"Aleje Solidarności parzyste 38 - 50, ul. Aleksandra Hercena parzyste 4, ul. Księcia Mieszka I parzyste 16 - 20D, os. Przyjaźni nieparzyste 19, 21, 23, 115, 141 - 141b, parzyste 18, 22, 116",2048,1735,1733,1083,1733,1083
2,65,Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie,os. Przyjaźni 127 Poznań,stały,"os. Przyjaźni nieparzyste 9, 17, 127, 137, parzyste 6, 16, 20, 24, 120, 136",1262,1055,1062,614,1062,615
2,66,Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie,os. Przyjaźni 136 Poznań,stały,"os. Przyjaźni nieparzyste 5, 7, 129, parzyste 4, 4b, 8 - 10, 126 - 132c",1958,1672,1705,931,1705,932
2,67,Przedszkole nr 129 im. Małych Przyjaciół,os. Przyjaźni 135 Poznań,stały,"os. Przyjaźni nieparzyste 11 - 11a, 11W - 13, 15, 133 - 135, parzyste 12, 14, 134, 142",1767,1518,1526,899,1526,902
2,68,Zespół Szkół Zawodowych nr 2 im. Janusza Korczaka,ul. Żniwna 1 Poznań,stały,"ul. Bastionowa wszystkie adresy, ul. Dożynkowa wszystkie adresy, ul. Owsiana wszystkie adresy, ul. Ozimina wszystkie adresy, ul. Pasieka nieparzyste 17 - 33a, ul. Pszczelna nieparzyste 1 - 23, parzyste 20 - 34, ul. Pszenna wszystkie adresy, ul. Romana Brandstaettera parzyste 4 - 6, ul. Słowiańska parzyste 32 - 44, ul. Starowiejska wszystkie adresy, ul. Warzywna wszystkie adresy, ul. Winna wszystkie adresy, ul. Winogrady nieparzyste 9 - 59, parzyste 6 - 44, 46/48 - 82, ul. Wyżyny nieparzyste 1 - 7, parzyste 4 - 6, 8 - 18, ul. Za Cytadelą nieparzyste 53, parzyste 118 - 144, ul. Zagonowa wszystkie adresy, ul. Zbożowa wszystkie adresy, ul. Żniwna wszystkie adresy",2346,1879,1889,1185,1889,1185
2,69,Zespół Szkół Łączności im. Mikołaja Kopernika,ul. Przełajowa 4 Poznań,stały,"ul. Gromadzka wszystkie adresy, ul. Gronowa wszystkie adresy, ul. Kmieca wszystkie adresy, ul. Murawa nieparzyste 1 - 31, parzyste 2 - 36, os. Na Murawie wszystkie adresy, ul. Na Stoku wszystkie adresy, ul. Na Szańcach wszystkie adresy, ul. Pasieka nieparzyste 3 - 15a, parzyste 2 - 36a, ul. Przełajowa wszystkie adresy, ul. Pszczelna parzyste 2, 4 - 14, ul. Romana Brandstaettera nieparzyste 1, ul. Sadowa wszystkie adresy, ul. Słowiańska parzyste 50 - 78, ul. Sołtysia wszystkie adresy, ul. Szelągowska wszystkie adresy, ul. Winogrady nieparzyste 61 - 151, parzyste 86 - 150, ul. Wójtowska wszystkie adresy, ul. Wyżyny nieparzyste 13 - 25, parzyste 22 - 32, ul. Za Cytadelą nieparzyste 1 - 35, 121, parzyste 2 - 110, ul. Zagrodnicza wszystkie adresy",2357,1908,1908,1360,1908,1368
2,70,Zespół Szkół Łączności im. Mikołaja Kopernika,ul. Przełajowa 4 Poznań,stały,"ul. Czapla wszystkie adresy, ul. Hawelańska wszystkie adresy, ul. Lechicka parzyste 100, ul. Nadbrzeże wszystkie adresy, ul. Naramowicka parzyste 22 - 112, ul. Serbska wszystkie adresy, ul. Ugory wszystkie adresy, ul. Wilczak wszystkie adresy, ul. Ziarnista wszystkie adresy",2931,2234,2273,1486,2273,1482
3,71,Szkoła Podstawowa nr 82 im. księcia Przemysła I,ul. Krakowska 10 Poznań,stały,"ul. Garbary parzyste 2 - 16, ul. Hipolita Cegielskiego wszystkie adresy, ul. Karmelicka wszystkie adresy, ul. Kazimierza Wielkiego wszystkie adresy, ul. Krakowska nieparzyste 1 - 35, parzyste 10, ul. Królowej Jadwigi parzyste 32 - 62, ul. Kwiatowa nieparzyste 9 - 11, parzyste 8 - 10, ul. Łąkowa nieparzyste 1 - 13, 15, parzyste 2 - 14a, ul. Mostowa nieparzyste 19a - 19h, ul. Półwiejska nieparzyste 45 - 47, ul. Rybaki nieparzyste 13 - 17, parzyste 12 - 16, ul. Strzelecka nieparzyste 49, parzyste 40 - 48, 50 - 52, ul. św. Marii Magdaleny parzyste 2 - 14",2243,1858,1852,959,1852,959
3,72,III Liceum Ogólnokształcące im. św. Jana Kantego,ul. Strzelecka 10 Poznań,stały,"pl. Bernardyński wszystkie adresy, ul. Długa nieparzyste 1 - 3, 13 - 19, parzyste 4 - 4A, 14 - 18, ul. Garbary nieparzyste 1 - 37, parzyste 22 - 36, ul. Krakowska parzyste 2 - 4, ul. Mostowa nieparzyste 23 - 27A, parzyste 24 - 28, ul. Półwiejska nieparzyste 3 - 11, ul. Strzałowa nieparzyste 1, ul. Strzelecka nieparzyste 1 - 17, 19 - 45, parzyste 2/6 - 16, ul. św. Marii Magdaleny nieparzyste 5, pl. Wiosny Ludów wszystkie adresy, ul. Wszystkich Świętych parzyste 4 - 8, ul. Za Bramką nieparzyste 5a - 7, parzyste 4 - 8, ul. Zielona nieparzyste 1 - 3, 7, parzyste 2 - 8",1778,1468,1470,602,1470,602
3,73,Zespół Szkół Budownictwa nr 1,ul. Rybaki 17 Poznań,stały,"ul. Długa nieparzyste 5 - 11, parzyste 6 - 12, ul. Krakowska parzyste 30 - 34, ul. Kwiatowa nieparzyste 1 - 7, 13, parzyste 2 - 6, 12 - 14, ul. Łąkowa nieparzyste 17 - 21, parzyste 16 - 20, ul. Mikołaja Kopernika wszystkie adresy, ul. Półwiejska nieparzyste 13 - 43, ul. Rybaki nieparzyste 1 - 7, 9, 19 - 33, parzyste 2 - 10, 18 - 36, ul. Strzałowa nieparzyste 3 - 7, parzyste 2 - 6A, ul. Strzelecka parzyste 18 - 34",2039,1656,1671,746,1671,749
3,74,Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich,ul. Powstańców Wielkopolskich 3 Poznań,stały,"ul. Bolesława Krysiewicza wszystkie adresy, ul. Franciszka Ratajczaka parzyste 2 - 34, ul. Niezłomnych nieparzyste 1, ul. Ogrodowa wszystkie adresy, ul. Piekary wszystkie adresy, ul. Półwiejska parzyste 2A - 42, ul. Romana Szymańskiego wszystkie adresy, ul. Święty Marcin nieparzyste 9 - 31, ul. Tadeusza Kościuszki parzyste 42, pl. Władysława Andersa wszystkie adresy, ul. Wysoka wszystkie adresy",1548,1302,1320,541,1320,541
3,75,Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich,ul. Powstańców Wielkopolskich 3 Poznań,stały,"ul. Edwarda Taylora wszystkie adresy, ul. Franciszka Ratajczaka nieparzyste 1 - 27, ul. Garncarska wszystkie adresy, al. Niepodległości nieparzyste 109, parzyste 2 - 8, 10 - 12, ul. Niezłomnych parzyste 2, ul. Powstańców Wielkopolskich wszystkie adresy, ul. Składowa wszystkie adresy, ul. Skośna wszystkie adresy, ul. Stanisława Taczaka wszystkie adresy, pl. Stefana Stuligrosza wszystkie adresy, ul. Święty Marcin nieparzyste 33 - 87, ul. Tadeusza Kościuszki nieparzyste 57 - 71, 73 - 77, parzyste 68 - 76, ul. Towarowa wszystkie adresy",1829,1543,1565,716,1565,717
3,76,Zespół Szkół Zawodowych nr 6 im. Joachima Lelewela,ul. Działyńskich 4/5 Poznań,stały,"ul. Aleksandra Fredry wszystkie adresy, pl. Cyryla Ratajskiego nieparzyste 5, parzyste 4a - 6a, ul. Działyńskich wszystkie adresy, ul. Feliksa Nowowiejskiego nieparzyste 19/21 - 39, ul. Gwarna nieparzyste 3 - 9, 11 - 13A, ul. Henryka Wieniawskiego wszystkie adresy, ul. Karola Libelta nieparzyste 1 - 37, parzyste 6 - 16/20, ul. Młyńska nieparzyste 7 - 11a, parzyste 6 - 12a, al. Niepodległości parzyste 14 - 18, ul. Seweryna Mielżyńskiego nieparzyste 19 - 33A, ul. Święty Marcin parzyste 74 - 80/82, 90 ul. Tadeusza Kościuszki nieparzyste 79 - 99, parzyste 80 - 112a, ul. Zygmunta Noskowskiego nieparzyste 13, parzyste 2 - 18",1902,1565,1568,761,1568,761
3,77,Zespół Szkół Komunikacji im. Hipolita Cegielskiego,ul. Aleksandra Fredry 13 Poznań,stały,"ul. 27 Grudnia wszystkie adresy, ul. 3 Maja wszystkie adresy, Aleje Karola Marcinkowskiego nieparzyste 21 - 29, parzyste 20 - 28, pl. Cyryla Ratajskiego nieparzyste 1 - 1b, 9, parzyste 2, 8 - 10e, ul. Feliksa Nowowiejskiego nieparzyste 1 - 11, 15 - 17, parzyste 4 - 12, ul. Franciszka Ratajczaka nieparzyste 31 - 45, parzyste 36 - 44, ul. Gwarna parzyste 4 - 10, ul. Kazimierza Kantaka wszystkie adresy, ul. Młyńska nieparzyste 3 - 5a, parzyste 2 - 4, ul. por. Janiny Lewandowskiej nieparzyste 1/3 - 11, parzyste 2 - 20, ul. Seweryna Mielżyńskiego parzyste 14 - 24, ul. Święty Marcin parzyste 24 - 66/72, pl. Wolności wszystkie adresy",1994,1666,1672,715,1672,724
3,78,Muzeum Archeologiczne,ul. Wodna 27 Poznań,stały,"Aleje Karola Marcinkowskiego nieparzyste 11, 11D - 15, parzyste 12 - 16, ul. Garbary nieparzyste 39 - 67, 67a, parzyste 54 - 64, ul. Gołębia wszystkie adresy, ul. Grobla nieparzyste 1a - 1b, ul. Ignacego Paderewskiego nieparzyste 1 - 7, parzyste 2 - 8, ul. Klasztorna nieparzyste 5/6 - 19/20, parzyste 4 - 18, pl. Kolegiacki wszystkie adresy, ul. Kozia wszystkie adresy, ul. Mostowa nieparzyste 37 - 39, parzyste 38, ul. Murna wszystkie adresy, ul. Podgórna wszystkie adresy, ul. Sieroca nieparzyste 7, ul. Stary Rynek nieparzyste 45 - 61, 65 - 67, parzyste 46/47 - 50, 52a - 62, 64/65 - 68, ul. Szkolna wszystkie adresy, ul. Ślusarska nieparzyste 5 - 13, parzyste 4 - 14, ul. Świętosławska wszystkie adresy, ul. Święty Marcin parzyste 2 - 18, ul. Wielka nieparzyste 17 - 23, parzyste 18 - 22, ul. Wodna wszystkie adresy, ul. Woźna nieparzyste 7/8 - 21, parzyste 10 - 18, ul. Wrocławska wszystkie adresy, ul. Wszystkich Świętych nieparzyste 1, ul. Za Bramką nieparzyste 1, 9 - 13, parzyste 10 - 12b, ul. Zielona nieparzyste 5",1914,1587,1594,711,1594,711
3,79,Poznańskie Centrum Świadczeń,ul. Wszystkich Świętych 1 Poznań,stały,"ul. Chwaliszewo nieparzyste 59 - 75, parzyste 58 - 76, ul. Czartoria wszystkie adresy, ul. Ewangelicka wszystkie adresy, ul. Garbary parzyste 38 - 52, ul. Grobla nieparzyste 1, 3 - 29a, parzyste 2 - 30, ul. Łazienna wszystkie adresy, ul. Mostowa nieparzyste 1 - 15a, 29 - 35, parzyste 2 - 16, 30 - 34, ul. Tylne Chwaliszewo wszystkie adresy, ul. Wierzbowa wszystkie adresy, ul. Wszystkich Świętych nieparzyste 3 - 5, ul. Za Groblą wszystkie adresy",2039,1636,1638,712,1638,711
3,80,Zespół Dziennych Domów Pomocy Filia nr 4 „Klub Starówka”,ul. Wielka 1 - 6 Poznań,stały,"Aleje Karola Marcinkowskiego nieparzyste 1 - 9, parzyste 2 - 4, ul. Dominikańska wszystkie adresy, ul. Franciszkańska wszystkie adresy, ul. Garbary nieparzyste 71 - 73, ul. Góra Przemysła wszystkie adresy, ul. Ignacego Paderewskiego nieparzyste 9 - 11, parzyste 10, ul. Klasztorna nieparzyste 1 - 3, 21, parzyste 2, 22/23 - 26, ul. Kramarska wszystkie adresy, ul. Masztalarska wszystkie adresy, ul. Mokra wszystkie adresy, ul. por. Janiny Lewandowskiej nieparzyste 29/33a - 41/43, parzyste 26 - 42, ul. Sieroca nieparzyste 1 - 5/6, parzyste 2 - 10, ul. Solna nieparzyste 1 - 3, ul. Stary Rynek nieparzyste 1 - 21, 23 - 43, 71/72 - 97/98, parzyste 2 - 44, 70 - 100, ul. Stawna wszystkie adresy, ul. Szewska wszystkie adresy, ul. Ślusarska nieparzyste 15, parzyste 16a - 16b, ul. Wielka nieparzyste 1 - 6 - 13, 27/29, parzyste 8 - 14A, 24/25 - 24/25d, pl. Wielkopolski wszystkie adresy, ul. Wolnica nieparzyste 1, ul. Woźna nieparzyste 1 - 5, parzyste 2/3 - 4, ul. Wroniecka wszystkie adresy, ul. Zamkowa wszystkie adresy, ul. Żydowska wszystkie adresy",1858,1533,1543,730,1543,730
3,81,Zespół Szkół Mistrzostwa Sportowego nr 2,al. Niepodległości 32 Poznań,stały,"Aleje Karola Marcinkowskiego nieparzyste 31, parzyste 30 - 32, al. Armii Poznań 15, 17, ul. Cicha wszystkie adresy, ul. Działowa wszystkie adresy, ul. Feliksa Nowowiejskiego nieparzyste 43 - 59, parzyste 14a - 62, ul. Fryderyka Chopina wszystkie adresy, ul. Janusza Kulasa wszystkie adresy, ul. Karola Libelta parzyste 22 - 36, ul. Kazimierza Pułaskiego parzyste 8 - 30, ul. Młyńska nieparzyste 1 - 1a, 13 - 15, parzyste 14 - 16, al. Niepodległości nieparzyste 27 - 35, 39 - 59, parzyste 22 - 32, 34 - 36, ul. por. Janiny Lewandowskiej nieparzyste 17 - 25, ul. Przepadek wszystkie adresy, ul. Solna nieparzyste 9 - 27, parzyste 2 - 18, ul. Sporna wszystkie adresy, ul. Stanisława Hejmowskiego wszystkie adresy, ul. Święty Wojciech nieparzyste 1 - 7, parzyste 2 - 10, ul. Tadeusza Kościuszki nieparzyste 101a - 109, parzyste 114, ul. Wolnica nieparzyste 7/8, 9 ul. Zygmunta Noskowskiego nieparzyste 21 - 35/37, parzyste 22 - 24",1651,1384,1393,766,1393,766
3,82,Zespół Szkolno-Przedszkolny nr 4,ul. Garbary 82 Poznań,stały,"ul. Bóżnicza wszystkie adresy, ul. Chwaliszewo nieparzyste 5/6 - 19, 21 - 23, parzyste 10 - 12, ul. Ewarysta Estkowskiego wszystkie adresy, ul. Garbary nieparzyste 95 - 125, parzyste 68 - 128, ul. gen. Tadeusza Kutrzeby wszystkie adresy, ul. Grochowe Łąki wszystkie adresy, ul. Księcia Józefa wszystkie adresy, ul. Ku Cytadeli wszystkie adresy, ul. Małe Garbary wszystkie adresy, ul. Na Podgórniku wszystkie adresy, ul. Piaskowa wszystkie adresy, ul. Podgórze wszystkie adresy, ul. Północna wszystkie adresy, ul. Szyperska wszystkie adresy, ul. Święty Wojciech nieparzyste 19/20 - 31, parzyste 22/24 - 30A, ul. Wenecjańska wszystkie adresy, ul. Wzgórze św. Wojciecha wszystkie adresy",1991,1584,1604,890,1604,888
